500,1,1,1,1,5
499,1,1,1,1,5
498,1,1,2,1,5
497,1,1,4,1,5
496,5,1,4,1,6
495,7,1,9,2,6
494,7,1,21,3,7
493,9,1,26,3,10
492,18,1,45,4,11
491,24,1,66,4,12
490,24,2,83,4,18
489,24,2,108,4,18
488,36,3,127,7,23
487,60,4,156,10,27
486,63,4,185,11,30
485,64,8,216,14,36
484,82,8,252,15,46
483,136,8,293,20,60
482,151,8,335,22,65
481,157,8,391,24,77
480,178,11,456,31,90
479,257,12,511,34,102
478,284,15,567,37,118
477,289,15,643,43,133
476,314,15,723,49,147
475,426,17,823,55,161
474,501,19,920,60,179
473,520,20,1006,63,190
472,556,20,1094,69,205
471,665,20,1204,74,219
470,797,22,1319,78,246
469,832,23,1436,84,265
468,871,27,1553,91,288
467,989,29,1683,96,311
466,1189,32,1808,101,338
465,1267,36,1944,114,358
464,1321,39,2072,124,387
463,1463,42,2222,132,414
462,1700,43,2361,140,444
461,1808,47,2531,144,480
460,1884,48,2688,151,508
459,2021,48,2865,157,538
458,2277,52,3023,165,563
457,2467,55,3199,178,597
456,2581,55,3400,189,627
455,2740,59,3596,196,650
454,2996,62,3793,205,680
453,3252,66,3985,211,714
452,3387,70,4192,222,741
451,3576,76,4425,234,779
450,3879,78,4644,241,821
449,4210,84,4859,256,874
448,4422,90,5099,267,907
447,4649,95,5373,282,952
446,4976,96,5625,295,982
445,5374,103,5877,316,1020
444,5633,107,6121,330,1066
443,5892,108,6375,351,1105
442,6251,116,6664,375,1154
441,6701,121,6927,389,1191
440,7042,127,7203,408,1239
439,7345,133,7495,428,1291
438,7731,140,7790,443,1344
437,8196,147,8083,473,1391
436,8588,157,8371,495,1439
435,8897,169,8693,518,1481
434,9302,179,9020,539,1529
433,9765,194,9371,560,1579
432,10269,203,9696,585,1616
431,10663,205,10043,606,1660
430,11091,213,10374,623,1706
429,11600,221,10746,653,1760
428,12128,237,11067,679,1813
427,12588,248,11432,706,1881
426,13053,254,11771,740,1941
425,13574,264,12121,779,2011
424,14129,281,12477,811,2062
